#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Dyson Daniels,ATL,5,34.0,15.6,6.8,12.8,0.531,1.2,2.2,0.545,0.8,1.4,0.571,0.8,5.2,6.0,5.4,2.8,0.4,2.4,2.2
2,Josh Okogie,CHA,5,23.4,11.8,3.8,8.4,0.452,1.2,3.6,0.333,3.0,3.8,0.789,1.6,2.4,4.0,1.8,2.8,0.8,1.6,1.8
3,Tyrese Haliburton,IND,5,33.5,22.2,8.2,14.0,0.586,3.8,6.4,0.594,2.0,2.0,1.0,0.4,2.8,3.2,11.6,2.6,0.4,1.2,0.6
4,"Scotty Pippen, Jr.",MEM,5,23.5,11.0,3.6,7.0,0.514,1.4,2.8,0.5,2.4,2.8,0.857,1.0,1.8,2.8,3.4,2.6,0.6,1.8,2.2
5,Dru Smith,MIA,5,25.6,8.8,2.8,5.2,0.538,1.4,2.6,0.538,1.8,2.4,0.75,0.4,1.2,1.6,2.0,2.6,0.2,1.6,3.2
6,Devin Vassell,SAS,5,34.1,20.0,7.6,15.4,0.494,3.6,8.0,0.45,1.2,1.2,1.0,0.8,5.4,6.2,3.8,2.4,1.0,1.2,2.4
7,Quentin Grimes,PHL,5,33.7,25.0,9.0,18.0,0.5,3.0,8.0,0.375,4.0,4.4,0.909,0.8,3.8,4.6,4.2,2.4,0.8,3.6,2.2
8,Paul George,PHL,5,36.0,16.6,6.2,14.0,0.443,2.2,6.6,0.333,2.0,2.6,0.769,0.8,5.6,6.4,4.2,2.4,0.8,3.0,2.2
9,Kris Dunn,LAC,5,28.4,5.8,2.6,5.4,0.481,0.6,2.2,0.273,0.0,0.0,0.0,0.4,2.2,2.6,4.2,2.4,0.8,0.8,2.4
10,Bam Adebayo,MIA,5,38.5,22.8,8.0,15.8,0.506,1.4,3.8,0.368,5.4,6.2,0.871,1.8,8.6,10.4,5.2,2.2,0.0,1.6,1.8
11,Jaylen Brown,BOS,5,38.9,21.4,7.8,19.6,0.398,1.0,4.8,0.208,4.8,6.0,0.8,1.0,5.4,6.4,5.4,2.2,0.8,3.0,2.6
12,Andrew Nembhard,IND,5,29.3,10.2,3.8,8.6,0.442,1.2,3.8,0.316,1.4,1.6,0.875,0.8,2.6,3.4,6.8,2.2,0.4,1.4,2.8
13,Jose Alvarado,NOP,5,25.6,12.2,4.6,11.0,0.418,2.4,5.6,0.429,0.6,0.8,0.75,0.2,1.8,2.0,6.0,2.2,0.4,1.8,1.0
14,Luka Doncic,LAL,5,38.2,32.6,10.2,23.4,0.436,5.0,11.6,0.431,7.2,9.4,0.766,0.8,8.4,9.2,9.0,2.0,0.4,5.2,2.0
15,Paolo Banchero,ORL,5,36.9,29.8,10.4,19.2,0.542,2.8,6.2,0.452,6.2,7.4,0.838,1.0,6.8,7.8,4.0,2.0,0.6,2.0,2.2
16,Jarrett Allen,CLE,5,30.4,15.4,5.6,9.0,0.622,0.0,0.0,0.0,4.2,4.8,0.875,2.8,8.2,11.0,1.6,2.0,1.4,1.0,1.4
17,Cameron Johnson,BRK,5,32.4,18.8,6.8,12.4,0.548,2.6,5.4,0.481,2.6,3.6,0.722,1.6,3.8,5.4,3.8,2.0,0.4,1.4,2.8
18,Draymond Green,GOS,5,31.4,10.8,3.2,6.6,0.485,1.4,3.0,0.467,3.0,3.8,0.789,1.0,5.6,6.6,7.2,2.0,0.4,3.0,3.4
19,Scottie Barnes,TOR,5,28.8,16.2,5.8,15.8,0.367,0.4,2.6,0.154,4.2,5.4,0.778,3.4,5.2,8.6,4.2,2.0,1.0,2.4,1.4
20,Jakob Poeltl,TOR,5,22.7,14.6,6.0,8.8,0.682,0.0,0.0,0.0,2.6,2.8,0.929,2.4,4.0,6.4,3.0,1.8,0.8,2.0,3.0
21,Khris Middleton,WAS,5,24.4,13.2,4.8,10.4,0.462,0.8,3.4,0.235,2.8,3.2,0.875,1.0,3.4,4.4,3.8,1.8,0.2,1.4,1.6
22,Cason Wallace,OKC,5,25.6,9.8,3.4,6.2,0.548,1.2,2.8,0.429,1.8,2.0,0.9,0.8,2.4,3.2,3.4,1.8,1.0,1.2,1.4
23,Mouhamed Gueye,ATL,5,21.2,9.0,3.0,6.0,0.5,1.4,3.4,0.412,1.6,2.0,0.8,1.2,2.8,4.0,1.2,1.8,1.6,0.4,2.4
24,Keon Ellis,SAC,5,29.8,11.2,4.4,9.2,0.478,1.8,5.2,0.346,0.6,0.8,0.75,0.6,2.0,2.6,2.6,1.8,0.8,0.6,3.0
25,Miles McBride,NYK,5,29.7,9.0,3.0,9.8,0.306,1.8,5.4,0.333,1.2,1.8,0.667,0.8,2.2,3.0,5.0,1.8,0.6,0.8,2.6
26,Fred VanVleet,HOU,5,30.2,6.8,2.4,8.4,0.286,1.4,6.4,0.219,0.6,0.6,1.0,0.0,2.4,2.4,4.4,1.8,0.2,1.0,1.8
27,Taylor Hendricks,UTA,3,24.8,4.7,1.3,6.0,0.222,1.0,4.0,0.25,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7
28,Naji Marshall,DAL,5,37.3,24.6,9.6,18.8,0.511,1.6,6.0,0.267,3.8,4.6,0.826,2.0,7.0,9.0,4.0,1.6,0.0,3.0,1.4
29,Brandon Williams,DAL,5,26.4,16.4,5.8,11.0,0.527,1.6,4.2,0.381,3.2,3.6,0.889,0.4,3.4,3.8,5.2,1.6,0.2,1.2,1.2
30,Jordan Poole,WAS,5,26.9,21.2,7.0,15.4,0.455,3.8,9.4,0.404,3.4,3.6,0.944,0.8,3.4,4.2,3.2,1.6,0.4,2.0,2.6
31,OG Anunoby,NYK,5,40.7,21.4,7.4,17.4,0.425,3.2,8.6,0.372,3.4,4.6,0.739,2.2,3.6,5.8,3.2,1.6,0.6,2.2,2.8
32,Jalen Johnson,ATL,5,30.8,12.8,5.2,12.2,0.426,0.2,2.2,0.091,2.2,3.0,0.733,1.2,7.4,8.6,2.6,1.6,0.6,2.4,1.0
33,"Kelly Oubre, Jr.",PHL,5,32.1,18.0,6.8,14.2,0.479,1.4,3.8,0.368,3.0,4.6,0.652,1.2,2.2,3.4,2.2,1.6,0.6,1.6,3.0
34,Ty Jerome,CLE,5,23.6,13.6,4.0,10.4,0.385,1.2,3.6,0.333,4.4,4.4,1.0,0.6,3.2,3.8,2.6,1.6,0.0,1.2,1.6
35,Bilal Coulibaly,WAS,5,29.0,10.6,4.0,10.0,0.4,1.0,3.4,0.294,1.6,2.2,0.727,2.8,2.6,5.4,1.6,1.6,0.8,1.8,1.4
36,Kevin Huerter,CHI,5,30.0,14.0,4.8,12.6,0.381,2.6,8.4,0.31,1.8,2.2,0.818,0.6,3.8,4.4,1.8,1.6,0.4,1.6,1.8
37,Jrue Holiday,BOS,5,32.8,8.8,3.8,8.8,0.432,1.2,4.8,0.25,0.0,0.0,0.0,1.8,2.2,4.0,3.0,1.6,0.4,1.6,1.6
38,T.J. McConnell,IND,5,13.9,5.8,2.8,5.8,0.483,0.2,1.2,0.167,0.0,0.0,0.0,0.4,1.0,1.4,3.4,1.6,0.2,0.2,0.4
39,Ayo Dosunmu,CHI,5,27.3,11.4,4.6,9.0,0.511,0.6,3.6,0.167,1.6,2.2,0.727,0.2,2.8,3.0,3.4,1.6,0.0,3.0,2.2
40,Nikola Jokic,DEN,5,40.4,29.2,12.0,21.2,0.566,1.6,5.4,0.296,3.6,5.6,0.643,3.2,11.8,15.0,9.8,1.4,0.8,3.4,3.2
